#time,accel_x,accel_y,accel_z
57.004546,1741.974853,9609.575562,133.998066
57.007080,1703.689691,9628.718142,0.000000
57.009615,1722.832272,9724.431046,210.568389
57.012150,1646.261949,9533.005238,38.285162
57.014685,1761.117434,9667.003304,76.570323
57.017220,1722.832272,9724.431046,114.855485
57.019754,1780.260014,9628.718142,57.427742
57.022289,1703.689691,9686.145885,76.570323
57.024824,1703.689691,9667.003304,210.568389
57.027359,1684.547110,9667.003304,57.427742
57.029893,1703.689691,9590.432981,-57.427742
57.032428,1646.261949,9762.716208,133.998066
57.034963,1722.832272,9628.718142,57.427742
57.037498,1703.689691,9647.860723,57.427742
57.040033,1665.404530,9628.718142,95.712904
57.042567,1741.974853,9609.575562,210.568389
57.045102,1741.974853,9628.718142,0.000000
57.047637,1684.547110,9628.718142,114.855485
57.050172,1761.117434,9628.718142,76.570323
57.052706,1818.545176,9628.718142,19.142581
57.055241,1722.832272,9628.718142,76.570323
57.057776,1665.404530,9705.288466,210.568389
57.060311,1703.689691,9590.432981,57.427742
57.062845,1761.117434,9686.145885,76.570323
57.065380,1837.687757,9647.860723,210.568389
57.067915,1780.260014,9686.145885,95.712904
57.070450,1780.260014,9647.860723,76.570323
57.072985,1703.689691,9667.003304,229.710970
57.075519,1799.402595,9494.720077,95.712904
57.078054,1684.547110,9647.860723,114.855485
57.080596,1703.689691,9724.431046,114.855485
57.083139,1722.832272,9590.432981,57.427742
57.085681,1780.260014,9667.003304,114.855485
57.088224,1741.974853,9647.860723,172.283227
57.090766,1741.974853,9609.575562,133.998066
57.093308,1741.974853,9609.575562,133.998066
57.095851,1799.402595,9686.145885,287.138712
57.098393,1780.260014,9571.290400,38.285162
57.100935,1684.547110,9628.718142,38.285162
57.103478,1741.974853,9609.575562,153.140646
57.106020,1818.545176,9590.432981,153.140646
57.108562,1646.261949,9552.147819,57.427742
57.111105,1684.547110,9647.860723,76.570323
57.113647,1684.547110,9667.003304,133.998066
57.116189,1703.689691,9647.860723,95.712904
57.118732,1722.832272,9590.432981,-38.285162
57.121274,1684.547110,9667.003304,191.425808
57.123816,1722.832272,9590.432981,-38.285162
57.126359,1703.689691,9667.003304,95.712904
57.128901,1646.261949,9667.003304,153.140646
57.131444,1646.261949,9667.003304,57.427742
57.133986,1684.547110,9609.575562,76.570323
57.136528,1722.832272,9647.860723,133.998066
57.139071,1607.976787,9590.432981,38.285162
57.141613,1703.689691,9590.432981,95.712904
57.144155,1684.547110,9667.003304,172.283227
57.146698,1665.404530,9724.431046,248.853550
57.149240,1703.689691,9609.575562,-19.142581
57.151782,1703.689691,9724.431046,153.140646
57.154325,1684.547110,9609.575562,76.570323
57.156867,1607.976787,9647.860723,95.712904
57.159409,1684.547110,9590.432981,133.998066
57.161952,1780.260014,9647.860723,133.998066
57.164494,1818.545176,9590.432981,76.570323
57.167037,1703.689691,9628.718142,76.570323
57.169579,1761.117434,9686.145885,133.998066
57.172121,1741.974853,9609.575562,133.998066
57.174664,1722.832272,9628.718142,95.712904
57.177206,1780.260014,9647.860723,153.140646
57.179748,1780.260014,9590.432981,19.142581
57.182296,1684.547110,9609.575562,133.998066
57.184845,1780.260014,9647.860723,248.853550
57.187393,1722.832272,9609.575562,-57.427742
57.189941,1741.974853,9609.575562,191.425808
57.192489,1703.689691,9590.432981,76.570323
57.195037,1780.260014,9647.860723,133.998066
57.197585,1703.689691,9590.432981,57.427742
57.200134,1722.832272,9724.431046,229.710970
57.202682,1761.117434,9533.005238,95.712904
57.205230,1722.832272,9647.860723,76.570323
57.207778,1780.260014,9609.575562,172.283227
57.210326,1799.402595,9552.147819,133.998066
57.212874,1684.547110,9609.575562,114.855485
57.215423,1741.974853,9552.147819,114.855485
57.217971,1684.547110,9667.003304,172.283227
57.220519,1722.832272,9609.575562,57.427742
57.223067,1684.547110,9590.432981,191.425808
57.225615,1722.832272,9667.003304,172.283227
57.228163,1703.689691,9571.290400,57.427742
57.230712,1684.547110,9628.718142,133.998066
57.233260,1722.832272,9667.003304,133.998066
57.235808,1703.689691,9628.718142,38.285162
57.238356,1780.260014,9609.575562,76.570323
57.240904,1780.260014,9686.145885,133.998066
57.243452,1646.261949,9609.575562,57.427742
57.246001,1627.119368,9667.003304,95.712904
57.248549,1665.404530,9667.003304,210.568389
57.251097,1646.261949,9609.575562,95.712904
57.253645,1703.689691,9628.718142,38.285162
57.256193,1722.832272,9667.003304,133.998066
57.258741,1703.689691,9628.718142,38.285162
57.261290,1703.689691,9590.432981,-19.142581
57.263838,1646.261949,9801.001370,248.853550
57.266386,1722.832272,9590.432981,-38.285162
57.268934,1703.689691,9628.718142,19.142581
57.271482,1741.974853,9647.860723,114.855485
57.274030,1703.689691,9762.716208,153.140646
57.276578,1703.689691,9667.003304,19.142581
57.279127,1741.974853,9647.860723,133.998066
57.281675,1780.260014,9647.860723,133.998066
57.284228,1741.974853,9590.432981,0.000000
57.286782,1722.832272,9667.003304,114.855485
57.289335,1761.117434,9647.860723,153.140646
57.291889,1761.117434,9571.290400,76.570323
57.294442,1741.974853,9647.860723,153.140646
57.296996,1780.260014,9762.716208,95.712904
57.299549,1799.402595,9647.860723,133.998066
57.302103,1665.404530,9743.573627,38.285162
57.304656,1722.832272,9628.718142,248.853550
57.307210,1684.547110,9609.575562,19.142581
57.309763,1684.547110,9628.718142,114.855485
57.312316,1780.260014,9762.716208,172.283227
57.314870,1722.832272,9571.290400,57.427742
57.317423,1741.974853,9647.860723,153.140646
57.319977,1741.974853,9686.145885,287.138712
57.322530,1818.545176,9571.290400,153.140646
57.325084,1684.547110,9647.860723,76.570323
57.327637,1665.404530,9628.718142,114.855485
57.330191,1722.832272,9628.718142,76.570323
57.332744,1780.260014,9513.862658,38.285162
57.335298,1646.261949,9686.145885,76.570323
57.337851,1761.117434,9590.432981,76.570323
57.340405,1703.689691,9609.575562,-19.142581
57.342958,1722.832272,9667.003304,95.712904
57.345512,1646.261949,9724.431046,95.712904
57.348065,1665.404530,9609.575562,95.712904
57.350618,1607.976787,9628.718142,114.855485
57.353172,1665.404530,9686.145885,114.855485
57.355725,1722.832272,9590.432981,76.570323
57.358279,1646.261949,9667.003304,95.712904
57.360832,1684.547110,9609.575562,153.140646
57.363386,1665.404530,9590.432981,95.712904
57.365939,1722.832272,9667.003304,114.855485
57.368493,1722.832272,9743.573627,153.140646
57.371046,1722.832272,9571.290400,76.570323
57.373600,1607.976787,9609.575562,-19.142581
57.376153,1761.117434,9743.573627,76.570323
57.378707,1741.974853,9647.860723,153.140646
57.381260,1741.974853,9513.862658,0.000000
57.383814,1703.689691,9724.431046,172.283227
57.386371,1741.974853,9571.290400,57.427742
57.388928,1761.117434,9590.432981,133.998066
57.391486,1722.832272,9628.718142,76.570323
57.394043,1799.402595,9667.003304,153.140646
57.396600,1818.545176,9647.860723,38.285162
57.399157,1607.976787,9686.145885,114.855485
57.401715,1761.117434,9609.575562,153.140646
57.404272,1837.687757,9533.005238,95.712904
57.406829,1665.404530,9705.288466,153.140646
57.409387,1799.402595,9686.145885,133.998066
57.411944,1722.832272,9533.005238,95.712904
57.414501,1627.119368,9724.431046,153.140646
57.417059,1722.832272,9743.573627,114.855485
57.419616,1780.260014,9609.575562,133.998066
57.422173,1646.261949,9705.288466,172.283227
57.424730,1722.832272,9686.145885,133.998066
57.427288,1818.545176,9590.432981,57.427742
57.429845,1646.261949,9647.860723,38.285162
57.432402,1780.260014,9609.575562,191.425808
57.434960,1703.689691,9590.432981,38.285162
57.437517,1703.689691,9647.860723,95.712904
57.440074,1722.832272,9667.003304,210.568389
57.442631,1703.689691,9667.003304,38.285162
57.445189,1703.689691,9667.003304,95.712904
