#time,accel_x,accel_y,accel_z
798.895549,1607.976787,9590.432981,114.855485
798.898110,1684.547110,9609.575562,153.140646
798.900672,1627.119368,9686.145885,267.996131
798.903234,1665.404530,9628.718142,172.283227
798.905796,1665.404530,9571.290400,172.283227
798.908358,1607.976787,9724.431046,287.138712
798.910920,1569.691626,9590.432981,114.855485
798.913481,1665.404530,9628.718142,114.855485
798.916041,1646.261949,9667.003304,229.710970
798.918602,1665.404530,9571.290400,114.855485
798.921163,1703.689691,9628.718142,172.283227
798.923724,1646.261949,9647.860723,325.423874
798.926284,1684.547110,9590.432981,114.855485
798.928845,1741.974853,9609.575562,133.998066
798.931406,1607.976787,9647.860723,267.996131
798.933967,1722.832272,9628.718142,191.425808
798.936527,1684.547110,9609.575562,114.855485
798.939088,1684.547110,9686.145885,229.710970
798.941649,1684.547110,9552.147819,248.853550
798.944210,1684.547110,9590.432981,114.855485
798.946771,1665.404530,9628.718142,210.568389
798.949331,1741.974853,9762.716208,306.281293
798.951892,1741.974853,9552.147819,153.140646
798.954453,1684.547110,9647.860723,248.853550
798.957014,1722.832272,9590.432981,267.996131
798.959574,1799.402595,9552.147819,191.425808
798.962135,1665.404530,9647.860723,172.283227
798.964696,1703.689691,9628.718142,325.423874
798.967257,1818.545176,9571.290400,191.425808
798.969817,1684.547110,9609.575562,248.853550
798.972378,1703.689691,9628.718142,325.423874
798.974939,1741.974853,9628.718142,191.425808
798.977500,1607.976787,9724.431046,248.853550
798.980061,1646.261949,9628.718142,306.281293
798.982621,1780.260014,9533.005238,153.140646
798.985182,1665.404530,9571.290400,114.855485
798.987743,1684.547110,9705.288466,287.138712
798.990304,1665.404530,9571.290400,153.140646
798.992864,1684.547110,9609.575562,133.998066
798.995425,1646.261949,9609.575562,229.710970
798.997986,1703.689691,9667.003304,248.853550
799.000547,1627.119368,9552.147819,210.568389
799.003107,1646.261949,9647.860723,229.710970
799.005668,1569.691626,9590.432981,153.140646
799.008229,1607.976787,9590.432981,210.568389
799.010790,1703.689691,9647.860723,210.568389
799.013350,1741.974853,9667.003304,248.853550
799.015909,1684.547110,9609.575562,191.425808
799.018467,1665.404530,9590.432981,210.568389
799.021026,1780.260014,9609.575562,191.425808
799.023584,1665.404530,9628.718142,172.283227
799.026143,1703.689691,9628.718142,248.853550
799.028701,1741.974853,9609.575562,191.425808
799.031260,1646.261949,9590.432981,172.283227
799.033818,1665.404530,9647.860723,114.855485
799.036376,1684.547110,9686.145885,229.710970
799.038935,1684.547110,9628.718142,191.425808
799.041493,1665.404530,9628.718142,210.568389
799.044052,1607.976787,9590.432981,229.710970
799.046610,1684.547110,9667.003304,191.425808
799.049169,1684.547110,9609.575562,133.998066
799.051727,1703.689691,9628.718142,267.996131
799.054286,1741.974853,9647.860723,248.853550
799.056844,1665.404530,9590.432981,210.568389
799.059403,1665.404530,9628.718142,229.710970
799.061961,1665.404530,9590.432981,229.710970
799.064519,1722.832272,9590.432981,248.853550
799.067078,1684.547110,9705.288466,267.996131
799.069636,1741.974853,9609.575562,248.853550
799.072195,1780.260014,9533.005238,191.425808
799.074753,1665.404530,9743.573627,287.138712
799.077312,1646.261949,9667.003304,229.710970
799.079870,1761.117434,9475.577496,210.568389
799.082429,1703.689691,9590.432981,248.853550
799.084987,1646.261949,9667.003304,287.138712
799.087545,1684.547110,9609.575562,153.140646
799.090104,1684.547110,9647.860723,248.853550
799.092662,1665.404530,9667.003304,267.996131
799.095221,1741.974853,9552.147819,133.998066
799.097779,1761.117434,9628.718142,267.996131
799.100338,1741.974853,9609.575562,210.568389
799.102896,1703.689691,9552.147819,210.568389
799.105455,1607.976787,9590.432981,153.140646
799.108013,1684.547110,9686.145885,287.138712
799.110571,1703.689691,9609.575562,172.283227
799.113130,1646.261949,9686.145885,133.998066
799.115688,1646.261949,9571.290400,287.138712
799.118246,1646.261949,9552.147819,229.710970
799.120803,1607.976787,9590.432981,210.568389
799.123360,1684.547110,9647.860723,248.853550
799.125917,1741.974853,9609.575562,153.140646
799.128474,1607.976787,9590.432981,172.283227
799.131031,1646.261949,9647.860723,229.710970
799.133589,1703.689691,9628.718142,267.996131
799.136146,1684.547110,9609.575562,191.425808
799.138703,1665.404530,9590.432981,191.425808
799.141260,1684.547110,9686.145885,191.425808
799.143817,1665.404530,9628.718142,114.855485
799.146374,1646.261949,9647.860723,248.853550
799.148932,1703.689691,9590.432981,267.996131
799.151489,1646.261949,9647.860723,210.568389
799.154046,1665.404530,9628.718142,153.140646
799.156603,1741.974853,9571.290400,306.281293
799.159160,1665.404530,9590.432981,153.140646
799.161717,1665.404530,9513.862658,114.855485
799.164275,1703.689691,9628.718142,267.996131
799.166832,1703.689691,9609.575562,133.998066
799.169389,1665.404530,9609.575562,114.855485
799.171946,1741.974853,9647.860723,248.853550
799.174503,1684.547110,9647.860723,191.425808
799.177060,1665.404530,9647.860723,133.998066
799.179618,1646.261949,9647.860723,229.710970
799.182175,1665.404530,9628.718142,191.425808
799.184732,1665.404530,9571.290400,114.855485
799.187289,1703.689691,9628.718142,325.423874
799.189846,1741.974853,9609.575562,210.568389
799.192403,1665.404530,9590.432981,172.283227
799.194961,1646.261949,9647.860723,287.138712
799.197518,1799.402595,9609.575562,191.425808
799.200075,1627.119368,9552.147819,76.570323
799.202632,1627.119368,9647.860723,229.710970
799.205189,1722.832272,9552.147819,229.710970
