#time,accel_x,accel_y,accel_z
828.480221,1741.974853,9647.860723,248.853550
828.482786,1665.404530,9609.575562,229.710970
828.485350,1627.119368,9609.575562,153.140646
828.487914,1703.689691,9628.718142,267.996131
828.490479,1665.404530,9628.718142,229.710970
828.493043,1646.261949,9590.432981,95.712904
828.495608,1761.117434,9705.288466,363.709035
828.498170,1722.832272,9590.432981,248.853550
828.500733,1646.261949,9686.145885,172.283227
828.503296,1703.689691,9628.718142,363.709035
828.505859,1684.547110,9647.860723,191.425808
828.508421,1684.547110,9609.575562,191.425808
828.510984,1665.404530,9667.003304,229.710970
828.513547,1722.832272,9590.432981,248.853550
828.516109,1665.404530,9590.432981,172.283227
828.518672,1607.976787,9686.145885,229.710970
828.521235,1722.832272,9590.432981,248.853550
828.523798,1627.119368,9628.718142,153.140646
828.526360,1665.404530,9628.718142,229.710970
828.528923,1703.689691,9667.003304,210.568389
828.531486,1665.404530,9647.860723,133.998066
828.534048,1684.547110,9647.860723,191.425808
828.536611,1741.974853,9609.575562,248.853550
828.539174,1646.261949,9647.860723,57.427742
828.541737,1646.261949,9609.575562,229.710970
828.544299,1761.117434,9609.575562,248.853550
828.546862,1607.976787,9628.718142,229.710970
828.549425,1684.547110,9647.860723,172.283227
828.551988,1703.689691,9628.718142,248.853550
828.554550,1741.974853,9647.860723,191.425808
828.557113,1665.404530,9590.432981,210.568389
828.559676,1665.404530,9590.432981,229.710970
828.562238,1780.260014,9647.860723,210.568389
828.564801,1627.119368,9590.432981,210.568389
828.567364,1703.689691,9667.003304,229.710970
828.569927,1684.547110,9533.005238,191.425808
828.572489,1684.547110,9609.575562,248.853550
828.575052,1703.689691,9705.288466,267.996131
828.577615,1684.547110,9571.290400,287.138712
828.580177,1665.404530,9571.290400,114.855485
828.582740,1703.689691,9667.003304,210.568389
828.585303,1703.689691,9590.432981,248.853550
828.587866,1607.976787,9609.575562,114.855485
828.590428,1646.261949,9647.860723,229.710970
828.592991,1703.689691,9647.860723,229.710970
828.595554,1684.547110,9590.432981,172.283227
828.598116,1703.689691,9628.718142,248.853550
828.600677,1703.689691,9628.718142,267.996131
828.603237,1646.261949,9647.860723,229.710970
828.605798,1722.832272,9667.003304,153.140646
828.608358,1703.689691,9590.432981,248.853550
828.610919,1799.402595,9609.575562,248.853550
828.613479,1627.119368,9686.145885,133.998066
828.616040,1703.689691,9628.718142,248.853550
828.618600,1703.689691,9590.432981,267.996131
828.621161,1607.976787,9590.432981,210.568389
828.623721,1703.689691,9628.718142,248.853550
828.626282,1684.547110,9647.860723,191.425808
828.628843,1665.404530,9590.432981,114.855485
828.631403,1665.404530,9686.145885,229.710970
828.633964,1684.547110,9609.575562,133.998066
828.636524,1588.834206,9571.290400,114.855485
828.639085,1703.689691,9590.432981,248.853550
828.641645,1741.974853,9609.575562,191.425808
828.644206,1607.976787,9628.718142,172.283227
828.646766,1684.547110,9686.145885,287.138712
828.649327,1780.260014,9609.575562,191.425808
828.651887,1607.976787,9628.718142,114.855485
828.654448,1646.261949,9628.718142,267.996131
828.657008,1665.404530,9609.575562,267.996131
828.659569,1703.689691,9571.290400,248.853550
828.662129,1665.404530,9590.432981,153.140646
828.664690,1684.547110,9686.145885,229.710970
828.667250,1722.832272,9667.003304,153.140646
828.669811,1665.404530,9628.718142,210.568389
828.672371,1684.547110,9628.718142,210.568389
828.674932,1684.547110,9628.718142,287.138712
828.677492,1607.976787,9571.290400,210.568389
828.680053,1646.261949,9667.003304,229.710970
828.682613,1703.689691,9590.432981,248.853550
828.685174,1703.689691,9647.860723,114.855485
828.687734,1646.261949,9609.575562,229.710970
828.690295,1684.547110,9552.147819,191.425808
828.692855,1684.547110,9609.575562,191.425808
828.695416,1665.404530,9628.718142,153.140646
828.697976,1741.974853,9647.860723,248.853550
828.700537,1665.404530,9647.860723,210.568389
828.703094,1665.404530,9628.718142,210.568389
828.705652,1703.689691,9628.718142,287.138712
828.708209,1741.974853,9590.432981,210.568389
828.710766,1627.119368,9667.003304,229.710970
828.713324,1703.689691,9552.147819,325.423874
828.715881,1722.832272,9590.432981,325.423874
828.718439,1607.976787,9609.575562,172.283227
828.720996,1646.261949,9667.003304,267.996131
828.723553,1741.974853,9609.575562,267.996131
828.726111,1569.691626,9590.432981,114.855485
828.728668,1703.689691,9590.432981,267.996131
828.731226,1646.261949,9647.860723,229.710970
828.733783,1665.404530,9590.432981,153.140646
828.736340,1703.689691,9628.718142,267.996131
828.738898,1741.974853,9647.860723,248.853550
828.741455,1607.976787,9686.145885,114.855485
828.744013,1703.689691,9628.718142,363.709035
828.746570,1684.547110,9590.432981,210.568389
828.749127,1665.404530,9628.718142,229.710970
828.751685,1684.547110,9628.718142,248.853550
828.754242,1684.547110,9552.147819,248.853550
828.756800,1627.119368,9590.432981,114.855485
828.759357,1627.119368,9609.575562,229.710970
828.761914,1684.547110,9647.860723,191.425808
828.764472,1665.404530,9590.432981,172.283227
828.767029,1741.974853,9609.575562,267.996131
828.769587,1722.832272,9724.431046,229.710970
828.772144,1665.404530,9590.432981,210.568389
828.774701,1607.976787,9628.718142,172.283227
828.777259,1684.547110,9647.860723,153.140646
828.779816,1646.261949,9590.432981,210.568389
828.782373,1569.691626,9628.718142,229.710970
828.784931,1607.976787,9686.145885,229.710970
828.787488,1684.547110,9647.860723,248.853550
828.790046,1627.119368,9609.575562,287.138712
828.792603,1607.976787,9628.718142,172.283227
828.795160,1665.404530,9628.718142,210.568389
828.797718,1665.404530,9590.432981,210.568389
828.800275,1665.404530,9609.575562,306.281293
828.802833,1741.974853,9609.575562,153.140646
828.805388,1684.547110,9647.860723,133.998066
