#time,accel_x,accel_y,accel_z
812.043211,1665.404530,9590.432981,172.283227
812.045752,1703.689691,9628.718142,248.853550
812.048294,1665.404530,9647.860723,229.710970
812.050836,1684.547110,9571.290400,172.283227
812.053377,1665.404530,9667.003304,172.283227
812.055919,1665.404530,9609.575562,153.140646
812.058461,1684.547110,9628.718142,210.568389
812.061002,1627.119368,9686.145885,210.568389
812.063547,1665.404530,9590.432981,114.855485
812.066091,1741.974853,9609.575562,191.425808
812.068636,1741.974853,9667.003304,248.853550
812.071180,1684.547110,9686.145885,210.568389
812.073725,1684.547110,9647.860723,191.425808
812.076269,1684.547110,9571.290400,229.710970
812.078814,1665.404530,9590.432981,210.568389
812.081358,1722.832272,9628.718142,248.853550
812.083903,1684.547110,9590.432981,172.283227
812.086447,1684.547110,9647.860723,191.425808
812.088992,1780.260014,9609.575562,191.425808
812.091536,1799.402595,9571.290400,172.283227
812.094081,1627.119368,9705.288466,191.425808
812.096625,1722.832272,9647.860723,248.853550
812.099169,1741.974853,9609.575562,191.425808
812.101714,1684.547110,9628.718142,248.853550
812.104258,1684.547110,9590.432981,172.283227
812.106803,1780.260014,9609.575562,267.996131
812.109347,1665.404530,9686.145885,172.283227
812.111892,1684.547110,9647.860723,191.425808
812.114436,1684.547110,9590.432981,210.568389
812.116981,1703.689691,9628.718142,267.996131
812.119525,1761.117434,9686.145885,267.996131
812.122070,1684.547110,9513.862658,153.140646
812.124614,1665.404530,9609.575562,191.425808
812.127159,1703.689691,9628.718142,248.853550
812.129703,1722.832272,9609.575562,172.283227
812.132248,1684.547110,9647.860723,172.283227
812.134792,1665.404530,9667.003304,191.425808
812.137337,1684.547110,9590.432981,191.425808
812.139881,1665.404530,9609.575562,153.140646
812.142426,1684.547110,9609.575562,191.425808
812.144970,1703.689691,9628.718142,248.853550
812.147515,1665.404530,9628.718142,153.140646
812.150059,1627.119368,9686.145885,210.568389
812.152604,1703.689691,9647.860723,210.568389
812.155148,1665.404530,9590.432981,229.710970
812.157693,1665.404530,9647.860723,114.855485
812.160237,1703.689691,9590.432981,267.996131
812.162781,1646.261949,9571.290400,153.140646
812.165329,1646.261949,9667.003304,191.425808
812.167877,1741.974853,9667.003304,191.425808
812.170425,1627.119368,9628.718142,191.425808
812.172972,1569.691626,9628.718142,191.425808
812.175520,1665.404530,9628.718142,229.710970
812.178068,1665.404530,9628.718142,229.710970
812.180616,1646.261949,9609.575562,325.423874
812.183163,1665.404530,9647.860723,191.425808
812.185711,1684.547110,9609.575562,191.425808
812.188259,1646.261949,9609.575562,229.710970
812.190806,1684.547110,9609.575562,153.140646
812.193354,1684.547110,9590.432981,191.425808
812.195902,1684.547110,9647.860723,133.998066
812.198450,1646.261949,9686.145885,191.425808
812.200997,1722.832272,9590.432981,248.853550
812.203545,1722.832272,9628.718142,267.996131
812.206093,1722.832272,9628.718142,248.853550
812.208640,1780.260014,9609.575562,191.425808
812.211188,1646.261949,9552.147819,287.138712
812.213736,1741.974853,9571.290400,287.138712
812.216284,1722.832272,9647.860723,191.425808
812.218831,1722.832272,9552.147819,153.140646
812.221379,1703.689691,9647.860723,267.996131
812.223927,1684.547110,9533.005238,248.853550
812.226474,1761.117434,9609.575562,191.425808
812.229022,1646.261949,9647.860723,287.138712
812.231570,1684.547110,9609.575562,267.996131
812.234118,1684.547110,9609.575562,210.568389
812.236665,1665.404530,9590.432981,172.283227
812.239213,1646.261949,9609.575562,287.138712
812.241761,1665.404530,9628.718142,210.568389
812.244309,1741.974853,9667.003304,153.140646
812.246856,1646.261949,9628.718142,229.710970
812.249404,1703.689691,9609.575562,267.996131
812.251952,1607.976787,9628.718142,172.283227
812.254499,1703.689691,9647.860723,248.853550
812.257047,1741.974853,9609.575562,248.853550
812.259595,1665.404530,9628.718142,153.140646
812.262143,1665.404530,9628.718142,210.568389
812.264690,1627.119368,9590.432981,153.140646
812.267239,1665.404530,9590.432981,210.568389
812.269788,1684.547110,9762.716208,229.710970
812.272337,1684.547110,9647.860723,153.140646
812.274885,1684.547110,9590.432981,172.283227
812.277434,1665.404530,9628.718142,229.710970
812.279983,1684.547110,9647.860723,191.425808
812.282532,1703.689691,9590.432981,76.570323
812.285081,1665.404530,9628.718142,172.283227
812.287629,1741.974853,9609.575562,191.425808
812.290178,1703.689691,9686.145885,191.425808
812.292727,1741.974853,9628.718142,248.853550
812.295276,1569.691626,9590.432981,210.568389
812.297825,1741.974853,9590.432981,248.853550
812.300373,1684.547110,9628.718142,229.710970
812.302922,1665.404530,9628.718142,191.425808
812.305471,1741.974853,9609.575562,210.568389
812.308020,1761.117434,9647.860723,191.425808
812.310569,1722.832272,9590.432981,248.853550
812.313117,1722.832272,9628.718142,267.996131
812.315666,1684.547110,9628.718142,210.568389
812.318215,1665.404530,9628.718142,191.425808
812.320764,1741.974853,9609.575562,191.425808
812.323313,1703.689691,9609.575562,248.853550
812.325861,1684.547110,9609.575562,191.425808
812.328410,1703.689691,9590.432981,229.710970
812.330959,1761.117434,9590.432981,248.853550
812.333508,1684.547110,9647.860723,210.568389
812.336057,1741.974853,9533.005238,191.425808
812.338605,1741.974853,9647.860723,153.140646
812.341154,1665.404530,9590.432981,114.855485
812.343703,1646.261949,9647.860723,229.710970
812.346252,1722.832272,9609.575562,248.853550
812.348801,1607.976787,9590.432981,172.283227
812.351349,1684.547110,9628.718142,210.568389
812.353898,1684.547110,9609.575562,153.140646
812.356447,1665.404530,9590.432981,210.568389
812.358996,1684.547110,9609.575562,191.425808
812.361544,1684.547110,9647.860723,191.425808
812.364093,1665.404530,9628.718142,153.140646
812.366642,1722.832272,9647.860723,191.425808
812.369191,1684.547110,9647.860723,191.425808
812.371740,1627.119368,9705.288466,172.283227
812.374289,1703.689691,9628.718142,248.853550
812.376838,1761.117434,9590.432981,191.425808
812.379387,1607.976787,9590.432981,153.140646
812.381936,1703.689691,9628.718142,267.996131
812.384485,1722.832272,9609.575562,191.425808
812.387033,1665.404530,9513.862658,114.855485
812.389582,1607.976787,9628.718142,210.568389
812.392131,1703.689691,9590.432981,248.853550
812.394680,1607.976787,9628.718142,210.568389
812.397229,1646.261949,9647.860723,229.710970
812.399778,1684.547110,9628.718142,114.855485
812.402327,1703.689691,9686.145885,248.853550
812.404876,1569.691626,9590.432981,229.710970
812.407425,1684.547110,9667.003304,172.283227
812.409974,1684.547110,9647.860723,248.853550
812.412523,1684.547110,9590.432981,191.425808
812.415072,1684.547110,9628.718142,229.710970
812.417621,1741.974853,9647.860723,191.425808
812.420170,1684.547110,9533.005238,191.425808
812.422718,1569.691626,9647.860723,172.283227
812.425267,1818.545176,9590.432981,267.996131
812.427816,1722.832272,9647.860723,248.853550
812.430365,1627.119368,9590.432981,172.283227
812.432914,1741.974853,9609.575562,191.425808
812.435463,1684.547110,9647.860723,191.425808
812.438012,1722.832272,9609.575562,248.853550
812.440561,1741.974853,9590.432981,267.996131
812.443110,1665.404530,9628.718142,153.140646
812.445659,1761.117434,9686.145885,287.138712
812.448208,1741.974853,9533.005238,191.425808
812.450757,1703.689691,9475.577496,172.283227
812.453306,1684.547110,9552.147819,248.853550
812.455854,1684.547110,9571.290400,267.996131
812.458403,1684.547110,9609.575562,191.425808
812.460952,1607.976787,9667.003304,191.425808
812.463501,1684.547110,9647.860723,267.996131
812.466050,1684.547110,9609.575562,248.853550
812.468599,1665.404530,9628.718142,172.283227
812.471149,1684.547110,9628.718142,248.853550
812.473699,1684.547110,9667.003304,248.853550
812.476249,1665.404530,9647.860723,114.855485
812.478798,1684.547110,9647.860723,248.853550
812.481348,1665.404530,9628.718142,210.568389
812.483898,1665.404530,9513.862658,153.140646
812.486448,1703.689691,9647.860723,287.138712
812.488997,1646.261949,9609.575562,248.853550
812.491547,1627.119368,9628.718142,210.568389
812.494097,1684.547110,9667.003304,133.998066
812.496647,1703.689691,9628.718142,248.853550
812.499197,1627.119368,9590.432981,114.855485
