#time,accel_x,accel_y,accel_z
693.489438,1741.974853,9686.145885,325.423874
693.491978,1722.832272,9590.432981,267.996131
693.494518,1607.976787,9628.718142,210.568389
693.497068,1722.832272,9628.718142,267.996131
693.499617,1761.117434,9609.575562,267.996131
693.502167,1665.404530,9590.432981,153.140646
693.504716,1722.832272,9628.718142,306.281293
693.507266,1761.117434,9647.860723,248.853550
693.509815,1646.261949,9705.288466,191.425808
693.512365,1684.547110,9647.860723,248.853550
693.514914,1703.689691,9628.718142,325.423874
693.517464,1607.976787,9590.432981,229.710970
693.520013,1684.547110,9667.003304,172.283227
693.522563,1588.834206,9686.145885,229.710970
693.525112,1722.832272,9686.145885,344.566454
693.527662,1684.547110,9647.860723,191.425808
693.530211,1607.976787,9628.718142,229.710970
693.532761,1703.689691,9667.003304,287.138712
693.535310,1741.974853,9609.575562,191.425808
693.537860,1531.406464,9647.860723,287.138712
693.540409,1703.689691,9724.431046,306.281293
693.542959,1741.974853,9590.432981,191.425808
693.545508,1627.119368,9647.860723,287.138712
693.548058,1722.832272,9647.860723,267.996131
693.550607,1684.547110,9647.860723,153.140646
693.553157,1607.976787,9724.431046,325.423874
693.555706,1665.404530,9609.575562,287.138712
693.558256,1741.974853,9609.575562,248.853550
693.560805,1646.261949,9628.718142,306.281293
693.563355,1818.545176,9609.575562,325.423874
693.565904,1703.689691,9667.003304,114.855485
693.568453,1607.976787,9743.573627,248.853550
693.571003,1684.547110,9628.718142,191.425808
693.573552,1722.832272,9552.147819,191.425808
693.576102,1607.976787,9667.003304,229.710970
693.578651,1761.117434,9571.290400,267.996131
693.581201,1722.832272,9552.147819,172.283227
693.583750,1665.404530,9705.288466,191.425808
693.586300,1722.832272,9628.718142,325.423874
693.588849,1780.260014,9647.860723,133.998066
693.591399,1665.404530,9667.003304,248.853550
693.593948,1703.689691,9590.432981,248.853550
693.596498,1684.547110,9609.575562,248.853550
693.598993,1665.404530,9667.003304,267.996131
693.601489,1703.689691,9590.432981,267.996131
693.603984,1722.832272,9628.718142,248.853550
693.606480,1627.119368,9609.575562,229.710970
693.608975,1761.117434,9609.575562,267.996131
693.611471,1703.689691,9628.718142,248.853550
693.613966,1607.976787,9590.432981,191.425808
693.616462,1761.117434,9667.003304,267.996131
693.618957,1741.974853,9647.860723,191.425808
693.621453,1646.261949,9609.575562,229.710970
693.623948,1761.117434,9628.718142,325.423874
693.626444,1722.832272,9628.718142,306.281293
693.628939,1665.404530,9686.145885,191.425808
693.631435,1703.689691,9590.432981,287.138712
693.633930,1646.261949,9647.860723,267.996131
693.636426,1665.404530,9590.432981,172.283227
693.638921,1665.404530,9628.718142,229.710970
693.641417,1627.119368,9609.575562,306.281293
693.643912,1627.119368,9609.575562,210.568389
693.646408,1780.260014,9647.860723,191.425808
693.648903,1703.689691,9628.718142,306.281293
693.651399,1646.261949,9647.860723,114.855485
693.653894,1703.689691,9628.718142,267.996131
693.656390,1703.689691,9647.860723,287.138712
693.658885,1607.976787,9609.575562,229.710970
693.661381,1761.117434,9647.860723,191.425808
693.663876,1684.547110,9571.290400,287.138712
693.666372,1665.404530,9628.718142,114.855485
693.668867,1684.547110,9705.288466,325.423874
693.671363,1684.547110,9609.575562,248.853550
693.673858,1684.547110,9686.145885,210.568389
693.676354,1761.117434,9609.575562,191.425808
693.678849,1627.119368,9628.718142,210.568389
693.681345,1646.261949,9628.718142,191.425808
693.683840,1665.404530,9590.432981,248.853550
693.686336,1703.689691,9667.003304,229.710970
693.688831,1741.974853,9609.575562,267.996131
693.691327,1741.974853,9609.575562,172.283227
693.693822,1665.404530,9686.145885,210.568389
693.696318,1722.832272,9628.718142,267.996131
