#time,accel_x,accel_y,accel_z
673.768160,1703.689691,9590.432981,248.853550
673.770723,1550.549045,9743.573627,191.425808
673.773286,1818.545176,9590.432981,248.853550
673.775854,1722.832272,9552.147819,210.568389
673.778423,1531.406464,9628.718142,153.140646
673.780992,1780.260014,9590.432981,267.996131
673.783560,1703.689691,9686.145885,153.140646
673.786129,1627.119368,9628.718142,287.138712
673.788698,1818.545176,9724.431046,229.710970
673.791267,1646.261949,9647.860723,229.710970
673.793835,1531.406464,9647.860723,229.710970
673.796404,1856.830338,9628.718142,210.568389
673.798973,1646.261949,9667.003304,248.853550
673.801542,1550.549045,9667.003304,287.138712
673.804110,1837.687757,9609.575562,267.996131
673.806679,1741.974853,9647.860723,191.425808
673.809248,1607.976787,9667.003304,248.853550
673.811817,1818.545176,9609.575562,287.138712
673.814385,1722.832272,9628.718142,287.138712
673.816954,1588.834206,9705.288466,191.425808
673.819523,1780.260014,9571.290400,325.423874
673.822092,1684.547110,9628.718142,210.568389
673.824660,1646.261949,9686.145885,191.425808
673.827229,1856.830338,9628.718142,229.710970
673.829798,1665.404530,9590.432981,172.283227
673.832367,1569.691626,9686.145885,229.710970
673.834935,1837.687757,9590.432981,287.138712
673.837504,1741.974853,9647.860723,210.568389
673.840073,1588.834206,9647.860723,287.138712
673.842642,1837.687757,9609.575562,229.710970
673.845210,1684.547110,9647.860723,210.568389
673.847779,1627.119368,9724.431046,267.996131
673.850348,1818.545176,9647.860723,191.425808
673.852917,1684.547110,9590.432981,229.710970
673.855485,1627.119368,9705.288466,191.425808
673.858054,1761.117434,9705.288466,267.996131
673.860623,1646.261949,9686.145885,248.853550
673.863192,1684.547110,9590.432981,172.283227
673.865760,1799.402595,9686.145885,210.568389
673.868329,1627.119368,9686.145885,210.568389
673.870898,1741.974853,9609.575562,153.140646
673.873467,1741.974853,9609.575562,248.853550
673.876035,1684.547110,9647.860723,191.425808
673.878607,1741.974853,9647.860723,153.140646
673.881179,1780.260014,9647.860723,191.425808
673.883751,1627.119368,9762.716208,248.853550
673.886323,1684.547110,9628.718142,191.425808
673.888895,1684.547110,9609.575562,153.140646
673.891467,1684.547110,9724.431046,191.425808
673.894039,1646.261949,9705.288466,210.568389
673.896611,1780.260014,9590.432981,267.996131
673.899183,1588.834206,9762.716208,153.140646
673.901755,1722.832272,9724.431046,210.568389
673.904327,1741.974853,9628.718142,191.425808
673.906899,1646.261949,9724.431046,210.568389
673.909471,1741.974853,9609.575562,248.853550
673.912043,1703.689691,9628.718142,287.138712
673.914615,1627.119368,9647.860723,229.710970
673.917186,1799.402595,9647.860723,191.425808
673.919758,1703.689691,9628.718142,248.853550
673.922330,1531.406464,9667.003304,229.710970
673.924902,1780.260014,9609.575562,191.425808
673.927474,1665.404530,9628.718142,153.140646
673.930046,1550.549045,9705.288466,248.853550
673.932618,1837.687757,9552.147819,229.710970
673.935190,1703.689691,9571.290400,248.853550
673.937762,1569.691626,9724.431046,267.996131
673.940334,1741.974853,9609.575562,191.425808
673.942906,1703.689691,9609.575562,248.853550
673.945478,1569.691626,9686.145885,172.283227
673.948050,1761.117434,9590.432981,306.281293
673.950622,1684.547110,9628.718142,210.568389
673.953194,1588.834206,9686.145885,191.425808
673.955766,1856.830338,9552.147819,248.853550
673.958338,1684.547110,9590.432981,210.568389
673.960909,1531.406464,9647.860723,229.710970
673.963481,1895.115499,9571.290400,191.425808
673.966053,1627.119368,9743.573627,248.853550
673.968625,1512.263883,9743.573627,210.568389
673.971197,1837.687757,9609.575562,287.138712
673.973769,1665.404530,9590.432981,210.568389
673.976341,1646.261949,9667.003304,306.281293
673.978913,1761.117434,9590.432981,267.996131
673.981488,1684.547110,9647.860723,191.425808
673.984063,1627.119368,9724.431046,267.996131
673.986637,1856.830338,9590.432981,229.710970
673.989212,1684.547110,9647.860723,172.283227
673.991787,1627.119368,9628.718142,287.138712
673.994362,1799.402595,9609.575562,248.853550
673.996936,1761.117434,9647.860723,210.568389
673.999511,1665.404530,9628.718142,248.853550
674.002086,1761.117434,9552.147819,287.138712
674.004661,1741.974853,9647.860723,210.568389
674.007235,1627.119368,9724.431046,248.853550
674.009810,1818.545176,9667.003304,267.996131
674.012385,1780.260014,9609.575562,267.996131
674.014960,1665.404530,9686.145885,172.283227
674.017535,1837.687757,9628.718142,229.710970
674.020109,1741.974853,9609.575562,248.853550
674.022684,1569.691626,9686.145885,133.998066
674.025259,1780.260014,9647.860723,153.140646
674.027834,1665.404530,9686.145885,191.425808
674.030408,1627.119368,9628.718142,287.138712
674.032983,1722.832272,9647.860723,248.853550
674.035558,1646.261949,9743.573627,229.710970
674.038133,1627.119368,9590.432981,229.710970
674.040707,1761.117434,9590.432981,325.423874
674.043282,1646.261949,9552.147819,229.710970
674.045857,1684.547110,9609.575562,191.425808
674.048432,1646.261949,9590.432981,267.996131
674.051006,1665.404530,9686.145885,287.138712
674.053581,1684.547110,9628.718142,172.283227
674.056156,1703.689691,9590.432981,248.853550
674.058731,1646.261949,9609.575562,287.138712
674.061305,1684.547110,9647.860723,172.283227
674.063880,1703.689691,9647.860723,267.996131
674.066455,1588.834206,9628.718142,229.710970
674.069030,1684.547110,9628.718142,191.425808
674.071605,1741.974853,9628.718142,248.853550
674.074179,1607.976787,9590.432981,287.138712
674.076754,1684.547110,9647.860723,133.998066
674.079329,1703.689691,9590.432981,153.140646
674.081904,1531.406464,9686.145885,229.710970
674.084479,1780.260014,9590.432981,248.853550
674.087054,1646.261949,9647.860723,287.138712
674.089629,1550.549045,9628.718142,210.568389
674.092204,1761.117434,9590.432981,248.853550
674.094779,1684.547110,9609.575562,229.710970
674.097355,1531.406464,9667.003304,210.568389
674.099930,1780.260014,9647.860723,191.425808
674.102505,1665.404530,9609.575562,153.140646
674.105080,1550.549045,9705.288466,210.568389
674.107655,1761.117434,9628.718142,267.996131
674.110230,1646.261949,9647.860723,229.710970
674.112806,1531.406464,9667.003304,229.710970
674.115381,1818.545176,9533.005238,287.138712
674.117956,1684.547110,9647.860723,191.425808
674.120531,1512.263883,9628.718142,191.425808
674.123106,1837.687757,9590.432981,267.996131
674.125681,1741.974853,9552.147819,191.425808
674.128257,1569.691626,9628.718142,229.710970
674.130832,1799.402595,9647.860723,248.853550
674.133407,1684.547110,9552.147819,153.140646
674.135982,1550.549045,9724.431046,210.568389
674.138557,1837.687757,9609.575562,287.138712
674.141132,1741.974853,9686.145885,287.138712
674.143708,1627.119368,9686.145885,287.138712
674.146283,1780.260014,9647.860723,248.853550
674.148858,1684.547110,9667.003304,248.853550
674.151433,1588.834206,9628.718142,306.281293
674.154008,1799.402595,9609.575562,248.853550
674.156583,1722.832272,9590.432981,267.996131
674.159159,1569.691626,9628.718142,229.710970
674.161734,1799.402595,9609.575562,191.425808
674.164309,1722.832272,9647.860723,153.140646
674.166884,1569.691626,9667.003304,287.138712
674.169459,1799.402595,9609.575562,267.996131
674.172034,1703.689691,9590.432981,267.996131
674.174610,1627.119368,9705.288466,191.425808
674.177185,1799.402595,9647.860723,114.855485
674.179760,1684.547110,9647.860723,191.425808
674.182335,1569.691626,9686.145885,191.425808
674.184910,1837.687757,9647.860723,229.710970
674.187484,1607.976787,9647.860723,172.283227
674.190059,1607.976787,9628.718142,191.425808
674.192633,1722.832272,9609.575562,248.853550
674.195207,1665.404530,9628.718142,191.425808
674.197781,1665.404530,9628.718142,114.855485
674.200356,1761.117434,9590.432981,267.996131
674.202930,1607.976787,9590.432981,229.710970
674.205504,1741.974853,9647.860723,191.425808
674.208079,1741.974853,9628.718142,248.853550
674.210653,1741.974853,9628.718142,248.853550
674.213227,1741.974853,9609.575562,172.283227
674.215801,1761.117434,9590.432981,248.853550
674.218376,1588.834206,9667.003304,287.138712
674.220950,1722.832272,9686.145885,191.425808
674.223524,1684.547110,9667.003304,153.140646
674.226098,1627.119368,9647.860723,229.710970
674.228673,1761.117434,9552.147819,172.283227
674.231247,1722.832272,9628.718142,248.853550
674.233821,1646.261949,9686.145885,248.853550
674.236395,1780.260014,9667.003304,153.140646
674.238970,1703.689691,9590.432981,248.853550
674.241544,1627.119368,9628.718142,267.996131
674.244118,1722.832272,9647.860723,153.140646
674.246692,1665.404530,9628.718142,210.568389
674.249267,1588.834206,9686.145885,191.425808
674.251841,1818.545176,9628.718142,248.853550
674.254415,1722.832272,9628.718142,287.138712
