#time,accel_x,accel_y,accel_z
663.906821,1722.832272,9724.431046,287.138712
663.909363,1684.547110,9571.290400,172.283227
663.911906,1627.119368,9590.432981,210.568389
663.914448,1703.689691,9628.718142,287.138712
663.916990,1741.974853,9647.860723,191.425808
663.919541,1665.404530,9628.718142,172.283227
663.922092,1665.404530,9628.718142,210.568389
663.924642,1665.404530,9590.432981,287.138712
663.927193,1569.691626,9590.432981,172.283227
663.929744,1741.974853,9609.575562,191.425808
663.932295,1703.689691,9609.575562,267.996131
663.934846,1627.119368,9628.718142,229.710970
663.937396,1818.545176,9628.718142,267.996131
663.939947,1684.547110,9552.147819,248.853550
663.942498,1741.974853,9647.860723,191.425808
663.945049,1722.832272,9724.431046,210.568389
663.947599,1741.974853,9609.575562,267.996131
663.950150,1646.261949,9647.860723,287.138712
663.952701,1665.404530,9590.432981,172.283227
663.955252,1627.119368,9628.718142,287.138712
663.957803,1607.976787,9628.718142,191.425808
663.960353,1684.547110,9647.860723,191.425808
663.962904,1684.547110,9667.003304,229.710970
663.965455,1684.547110,9628.718142,191.425808
663.968006,1722.832272,9647.860723,210.568389
663.970557,1684.547110,9705.288466,287.138712
663.973107,1627.119368,9628.718142,191.425808
663.975658,1607.976787,9513.862658,172.283227
663.978209,1646.261949,9609.575562,306.281293
663.980760,1665.404530,9590.432981,210.568389
663.983310,1684.547110,9647.860723,191.425808
663.985861,1684.547110,9724.431046,267.996131
663.988412,1684.547110,9686.145885,248.853550
663.990963,1665.404530,9609.575562,191.425808
663.993514,1627.119368,9762.716208,248.853550
663.996064,1646.261949,9647.860723,287.138712
663.998615,1741.974853,9609.575562,172.283227
664.001166,1665.404530,9590.432981,210.568389
664.003717,1665.404530,9590.432981,229.710970
664.006268,1741.974853,9647.860723,248.853550
664.008818,1646.261949,9609.575562,229.710970
664.011369,1703.689691,9667.003304,210.568389
664.013920,1741.974853,9609.575562,248.853550
664.016471,1703.689691,9590.432981,248.853550
664.019021,1703.689691,9686.145885,325.423874
664.021579,1684.547110,9609.575562,153.140646
664.024137,1703.689691,9628.718142,248.853550
664.026694,1761.117434,9628.718142,363.709035
664.029252,1780.260014,9609.575562,191.425808
664.031810,1684.547110,9609.575562,248.853550
664.034367,1780.260014,9647.860723,248.853550
664.036925,1722.832272,9609.575562,248.853550
664.039483,1665.404530,9686.145885,210.568389
664.042040,1646.261949,9628.718142,267.996131
664.044598,1722.832272,9628.718142,267.996131
664.047156,1684.547110,9647.860723,191.425808
664.049713,1684.547110,9705.288466,306.281293
664.052271,1684.547110,9609.575562,191.425808
664.054829,1607.976787,9590.432981,210.568389
664.057386,1703.689691,9628.718142,248.853550
664.059944,1684.547110,9552.147819,191.425808
664.062502,1703.689691,9590.432981,267.996131
664.065059,1703.689691,9628.718142,248.853550
664.067617,1741.974853,9609.575562,191.425808
664.070175,1646.261949,9609.575562,287.138712
664.072732,1703.689691,9628.718142,306.281293
664.075290,1684.547110,9609.575562,191.425808
664.077848,1646.261949,9647.860723,287.138712
664.080405,1722.832272,9590.432981,248.853550
664.082963,1780.260014,9609.575562,248.853550
664.085521,1627.119368,9647.860723,229.710970
664.088078,1703.689691,9628.718142,248.853550
664.090636,1722.832272,9686.145885,248.853550
664.093193,1703.689691,9628.718142,287.138712
664.095751,1646.261949,9647.860723,210.568389
664.098309,1780.260014,9590.432981,287.138712
